text,label,cleansing,casefolding,tokenizing,stopword
@sahabatgiselle Pesen shopeefood yang makanan 24 jam gt kalau gaakkkk:(,positif,pesen yang makanan jam gt kalau gaakkkk,pesen yang makanan jam gt kalau gaakkkk,"['pesen', 'yang', 'makanan', 'jam', 'gt', 'kalau', 'gaakkkk']",pesen makanan jam gt gaakkkk
@holyzaa @FOODFESS2 pake shopeefood aja 24k bisa double lauk utama + lauk tambahan lain,positif,pake aja k bisa double lauk utama lauk tambahan lain,pake aja k bisa double lauk utama lauk tambahan lain,"['pake', 'aja', 'k', 'bisa', 'double', 'lauk', 'utama', 'lauk', 'tambahan', 'lain']",pake aja k double lauk utama lauk tambahan
"Indo

Pesawat siapin budget : 1 - 1.5jt pp
Kereta : 400k pp
Tj / krl / gojek : 200k (hemat jalan kaki)
Hotel deket venue: 700-1jt/malem (seludupin aja 5 orng jg gapapa) 
Makan : bikin pop mie aja dah kalo ga beli nasi padang di shopeefood potongan 25k __",netral,indo pesawat siapin budget jt pp kereta k pp tj krl gojek k hemat jalan kaki hotel deket venue jtmalem seludupin aja orng jg gapapa makan bikin pop mie aja dah kalo ga beli nasi padang di potongan k,indo pesawat siapin budget jt pp kereta k pp tj krl gojek k hemat jalan kaki hotel deket venue jtmalem seludupin aja orng jg gapapa makan bikin pop mie aja dah kalo ga beli nasi padang di potongan k,"['indo', 'pesawat', 'siapin', 'budget', 'jt', 'pp', 'kereta', 'k', 'pp', 'tj', 'krl', 'gojek', 'k', 'hemat', 'jalan', 'kaki', 'hotel', 'deket', 'venue', 'jtmalem', 'seludupin', 'aja', 'orng', 'jg', 'gapapa', 'makan', 'bikin', 'pop', 'mie', 'aja', 'dah', 'kalo', 'ga', 'beli', 'nasi', 'padang', 'di', 'potongan', 'k']",indo pesawat siapin budget jt pp kereta k pp tj krl gojek k hemat jalan kaki hotel deket venue jtmalem seludupin aja orng jg gapapa makan bikin pop mie aja dah kalo ga beli nasi padang potongan k
"yaampun dapet driver shopee food baik bangettt huhuhu, sehat selalu untuk bapaknya &lt;3",positif,yaampun dapet driver baik bangettt huhuhu sehat selalu untuk bapaknya lt,yaampun dapet driver baik bangettt huhuhu sehat selalu untuk bapaknya lt,"['yaampun', 'dapet', 'driver', 'baik', 'bangettt', 'huhuhu', 'sehat', 'selalu', 'untuk', 'bapaknya', 'lt']",yaampun dapet driver bangettt huhuhu sehat bapaknya lt
@ShopeePay_ID Mana miiinn???? Aku mau jajan di shopee food nii huhu,netral,mana miiinn aku mau jajan di nii huhu,mana miiinn aku mau jajan di nii huhu,"['mana', 'miiinn', 'aku', 'mau', 'jajan', 'di', 'nii', 'huhu']",miiinn jajan nii huhu
@Belallangx Shopeefood dulu bang buat modal pacaran,positif,dulu bang buat modal pacaran,dulu bang buat modal pacaran,"['dulu', 'bang', 'buat', 'modal', 'pacaran']",bang modal pacaran
@ShopeeCare Jajan Shopeefood biar bisa makan bareng sama keluarga dirumah. Pengen nya beli donat @ShopeeCare,,jajan biar bisa makan bareng sama keluarga dirumah pengen nya beli donat,jajan biar bisa makan bareng sama keluarga dirumah pengen nya beli donat,"['jajan', 'biar', 'bisa', 'makan', 'bareng', 'sama', 'keluarga', 'dirumah', 'pengen', 'nya', 'beli', 'donat']",jajan biar makan bareng keluarga dirumah pengen nya beli donat
"@ShopeeCare Buat ""madyang gedhen"" di shopeefood pastinya..",positif,buat madyang gedhen di pastinya,buat madyang gedhen di pastinya,"['buat', 'madyang', 'gedhen', 'di', 'pastinya']",madyang gedhen pastinya
"@ravenurs udahh kak avennn, udah shopeefood wkwk",netral,udahh kak avennn udah wkwk,udahh kak avennn udah wkwk,"['udahh', 'kak', 'avennn', 'udah', 'wkwk']",udahh kak avennn udah wkwk
"@louimpia ENGGAK SUMPAHHH justru aku mau nemenin terus sampe loui ketemu cowok baik!! buat yang suka ghosting, semoga kalo mau order gofood/shopeefood menunya out of stock terus ______",negatif,enggak sumpahhh justru aku mau nemenin terus sampe loui ketemu cowok baik buat yang suka ghosting semoga kalo mau order gofoodshopeefood menunya out of stock terus,enggak sumpahhh justru aku mau nemenin terus sampe loui ketemu cowok baik buat yang suka ghosting semoga kalo mau order gofoodshopeefood menunya out of stock terus,"['enggak', 'sumpahhh', 'justru', 'aku', 'mau', 'nemenin', 'terus', 'sampe', 'loui', 'ketemu', 'cowok', 'baik', 'buat', 'yang', 'suka', 'ghosting', 'semoga', 'kalo', 'mau', 'order', 'gofoodshopeefood', 'menunya', 'out', 'of', 'stock', 'terus']",sumpahhh nemenin sampe loui ketemu cowok suka ghosting semoga kalo order gofoodshopeefood menunya out of stock
